Subject,Filename,Onset,Apex,Offset,Action Units,Label,catego,emo_label,eyes_au,mouth_au
01,EP02_01f,46,59,86,12,happiness,casme,1,0,3
01,EP03_02,131,139,161,18,others,casme,2,0,15
01,EP04_02,21,54,76,4,others,casme,2,7,0
01,EP04_03,31,41,56,4,others,casme,2,7,0
01,EP04_04,23,49,66,4,others,casme,2,7,0
01,EP19_01,26,49,66,4,others,casme,2,7,0
01,EP19_03f,81,96,161,4,others,casme,2,7,0
01,EP19_05f,396,416,446,4+7+L10,disgust,casme,0,11,1
01,EP19_06f,36,71,161,4+7+L10,disgust,casme,0,11,1
02,EP01_11f,46,91,96,15,repression,casme,3,0,10
02,EP02_04f,31,79,141,12+15,repression,casme,3,0,4
02,EP03_02f,16,81,136,15,repression,casme,3,0,10
02,EP06_01f,56,121,155,15,repression,casme,3,0,10
02,EP06_02f,36,64,111,15,repression,casme,3,0,10
02,EP08_04,16,69,106,14,others,casme,2,0,8
02,EP09_01,26,56,125,1+12,happiness,casme,1,1,3
02,EP09_06f,11,49,151,4,others,casme,2,7,0
02,EP09_10,26,36,66,17,others,casme,2,0,14
02,EP11_01,16,69,106,1+L2,surprise,casme,4,2,0
02,EP13_04,21,51,76,1,surprise,casme,4,1,0
02,EP14_01,81,114,126,1+L2,surprise,casme,4,2,0
02,EP15_04,26,66,96,17,others,casme,2,0,14
03,EP07_03,16,46,76,4,others,casme,2,7,0
03,EP07_04,21,81,106,4+L10,disgust,casme,0,7,1
03,EP08_1,11,44,91,4+17,others,casme,2,7,14
03,EP09_03,61,76,121,4+17,disgust,casme,0,7,14
03,EP18_06,26,81,126,4+7,disgust,casme,0,11,0
03,EP19_08,101,121,141,4+7,disgust,casme,0,11,0
04,EP12_01f,261,312,321,4+7+L10,disgust,casme,0,11,1
04,EP12_02f,356,387,406,4+9+L10+14,disgust,casme,0,13,2
04,EP13_02f,51,81,111,4,others,casme,2,7,0
04,EP13_06f,71,108,161,4+6+7,disgust,casme,0,10,0
04,EP19_01f,191,209,226,4,others,casme,2,7,0
05,EP02_07,36,66,101,1+2,surprise,casme,4,2,0
05,EP03_01,41,81,101,14,happiness,casme,1,0,8
05,EP03_06,33,66,83,1,surprise,casme,4,1,0
05,EP03_07,41,64,83,4,others,casme,2,7,0
05,EP04_05,16,44,66,1+2,surprise,casme,4,2,0
05,EP04_06,6,49,91,L2+12,surprise,casme,4,5,3
05,EP05_03,51,71,141,16+24,others,casme,2,0,13
05,EP05_09,49,94,136,16+24,others,casme,2,0,13
05,EP06_10,85,116,136,4,others,casme,2,7,0
05,EP07_01,49,66,106,6,others,casme,2,14,0
05,EP08_05,6,39,71,4,others,casme,2,7,0
05,EP09_05f,69,69,123,R2+15,disgust,casme,0,5,10
05,EP12_03f,11,36,61,25,surprise,casme,4,0,17
05,EP12_06,46,76,121,17,others,casme,2,0,14
05,EP13_04f,36,69,111,12+16,others,casme,2,0,6
05,EP13_06,16,46,76,4,others,casme,2,7,0
05,EP16_03f,39,81,138,4,others,casme,2,7,0
05,EP16_04f,141,181,181,4,others,casme,2,7,0
05,EP19_03,6,29,58,4,others,casme,2,7,0
06,EP01_01,81,111,136,L14,happiness,casme,1,0,8
06,EP02_31,99,131,148,L2+26+38,surprise,casme,4,5,18
06,EP10_08,116,139,161,4,others,casme,2,7,0
06,EP15_02,56,79,106,R1+R2,surprise,casme,4,2,0
06,EP16_05,94,114,151,L10,disgust,casme,0,0,1
07,EP01_01,79,109,156,4+R10,disgust,casme,0,7,1
07,EP03_04,11,49,76,R4,others,casme,2,7,0
07,EP06_01,15,49,68,4+38,others,casme,2,7,0
07,EP06_02_01,11,66,91,4+R10,disgust,casme,0,7,1
07,EP06_02_02,36,81,91,4+R10,disgust,casme,0,7,1
07,EP08_02,141,174,191,R4+R10,disgust,casme,0,7,1
07,EP15_01,36,64,91,R10,disgust,casme,0,0,1
07,EP18_01,6,24,51,R14,others,casme,2,0,8
07,EP18_03,11,54,96,7,others,casme,2,16,0
08,EP12_07f,26,74,118,4+7,others,casme,2,11,0
08,EP12_08f,71,106,170,4,others,casme,2,7,0
08,EP13_01f,49,86,126,15+17,repression,casme,3,0,11
09,EP02_01f,21,74,91,L12,happiness,casme,1,0,3
09,EP05_02,66,119,196,4+7,others,casme,2,11,0
09,EP05_03,91,116,156,4+7,others,casme,2,11,0
09,EP05_05,46,84,96,L12,happiness,casme,1,0,3
09,EP06_01f,66,144,186,15,repression,casme,3,0,10
09,EP06_02f,36,101,131,12+15,happiness,casme,1,0,4
09,EP09_04,26,71,146,15+17,repression,casme,3,0,11
09,EP09_05,26,81,111,15,repression,casme,3,0,10
09,EP09f,26,64,86,12+15,happiness,casme,1,0,4
09,EP13_01,31,74,121,17,repression,casme,3,0,14
09,EP15_05,56,91,111,L12,happiness,casme,1,0,3
09,EP17_08,6,41,76,17,repression,casme,3,0,14
09,EP18_03,11,39,81,4+7,others,casme,2,11,0
10,EP06_01f,11,54,101,4,others,casme,2,7,0
10,EP08_01f,76,114,141,4,others,casme,2,7,0
10,EP10_01f,111,136,171,4,others,casme,2,7,0
10,EP11_01,31,64,101,4,others,casme,2,7,0
10,EP11_01f,36,64,91,4,others,casme,2,7,0
10,EP12_02f,26,54,86,4,others,casme,2,7,0
10,EP12_03f,26,81,111,4,others,casme,2,7,0
10,EP12_04,61,101,146,4,others,casme,2,7,0
10,EP13_02f,41,109,131,4,others,casme,2,7,0
10,EP13_03f,11,46,76,4,others,casme,2,7,0
10,EP16_02f,21,64,110,4,others,casme,2,7,0
10,EP18_01f,11,44,73,4,others,casme,2,7,0
10,EP19_04f,81,84,126,4,others,casme,2,7,0
11,EP02_06f,71,96,116,4+L14,others,casme,2,7,8
11,EP08_01f,96,121,146,4,disgust,casme,0,7,0
11,EP12_03f,91,141,185,4,others,casme,2,7,0
11,EP13_02f,51,111,141,4+7+9+10,disgust,casme,0,12,1
11,EP13_03f,6,49,81,4,disgust,casme,0,7,0
11,EP13_05f,16,61,111,4+9,disgust,casme,0,13,0
11,EP15_01f,56,89,111,4,others,casme,2,7,0
11,EP15_04f,61,76,96,R14,others,casme,2,0,8
11,EP18_03f,56,106,131,4,others,casme,2,7,0
11,EP19_03f,11,94,151,4,others,casme,2,7,0
12,EP01_02,31,99,106,4+10,disgust,casme,0,7,1
12,EP02_05,41,61,140,1+2+5+7,surprise,casme,4,3,0
12,EP03_02,26,59,91,12,others,casme,2,0,3
12,EP03_04,60,129,156,6+12,happiness,casme,1,14,3
12,EP04_16,36,56,135,1+4+7,disgust,casme,0,4,0
12,EP06_06,36,76,111,1+2,surprise,casme,4,2,0
12,EP08_01,46,81,106,1+2,surprise,casme,4,2,0
12,EP08_03,76,114,156,1+2,surprise,casme,4,2,0
12,EP08_07,111,134,186,R12,happiness,casme,1,0,3
12,EP09_02,16,59,101,4+7+L2,disgust,casme,0,6,0
12,EP09_06,66,111,111,4+7,disgust,casme,0,11,0
12,EP16_02,136,189,226,4+5+7+9,disgust,casme,0,9,0
13,EP01_01,76,111,131,4,others,casme,2,7,0
13,EP01_02,76,101,116,14,others,casme,2,0,8
13,EP02_02,11,34,68,14,others,casme,2,0,8
13,EP02_03,26,59,66,14,others,casme,2,0,8
13,EP03_01,31,86,111,12,happiness,casme,1,0,3
13,EP08_01,54,81,106,4+5,others,casme,2,8,0
13,EP09_10,51,76,126,6+12,happiness,casme,1,14,3
13,EP12_01,6,41,61,4+5,others,casme,2,8,0
14,EP04_04f,11,44,86,14,others,casme,2,0,8
14,EP09_03,6,29,41,14,happiness,casme,1,0,8
14,EP09_04,21,71,106,14,happiness,casme,1,0,8
14,EP09_06,11,59,91,12,happiness,casme,1,0,3
15,EP03_02,16,49,76,L12,happiness,casme,1,0,3
15,EP08_02,21,54,78,4+7,disgust,casme,0,11,0
16,EP01_05,66,106,156,4+R12,happiness,casme,1,7,3
16,EP01_08,73,94,96,17,repression,casme,3,0,14
16,EP01_09f,51,76,163,4+12,others,casme,2,7,3
16,EP04_02f,181,269,271,R12,happiness,casme,1,0,3
17,EP01_06,81,86,121,12,happiness,casme,1,0,3
17,EP01_15,86,101,126,12,happiness,casme,1,0,3
17,EP02_01,91,119,136,4+6+7,disgust,casme,0,10,0
17,EP02_03,81,109,131,4+7,disgust,casme,0,11,0
17,EP02_11,161,181,210,4+9+17,disgust,casme,0,13,14
17,EP02_18f,91,134,181,17,repression,casme,3,0,14
17,EP03_02,118,139,161,6+7,disgust,casme,0,15,0
17,EP03_09,96,132,161,12,happiness,casme,1,0,3
17,EP05_02,25,91,121,12,happiness,casme,1,0,3
17,EP05_03,21,56,101,12,happiness,casme,1,0,3
17,EP05_03f,11,59,76,17,repression,casme,3,0,14
17,EP05_04,6,39,71,17,repression,casme,3,0,14
17,EP05_09,121,144,196,4+17,repression,casme,3,7,14
17,EP05_10,111,129,151,17,repression,casme,3,0,14
17,EP06_04,71,91,161,6+7,disgust,casme,0,15,0
17,EP06_07,216,225,246,L12,happiness,casme,1,0,3
17,EP06_08,156,194,231,17,repression,casme,3,0,14
17,EP07_01,21,71,115,4+7,disgust,casme,0,11,0
17,EP08_02,21,66,88,4+7,disgust,casme,0,11,0
17,EP08_03,51,69,84,4,others,casme,2,7,0
17,EP10_06,104,121,161,17,repression,casme,3,0,14
17,EP11_01,9,31,53,4+7,disgust,casme,0,11,0
17,EP11_02,36,81,121,4+7,disgust,casme,0,11,0
17,EP12_03,131,156,184,17,repression,casme,3,0,14
17,EP13_01,146,164,191,4,others,casme,2,7,0
17,EP13_03,51,79,136,4+7,disgust,casme,0,11,0
17,EP13_04,86,104,121,4+7,disgust,casme,0,11,0
17,EP13_06,86,109,131,4+7,disgust,casme,0,11,0
17,EP13_09,6,46,101,L12,happiness,casme,1,0,3
17,EP15_04,109,131,185,17,repression,casme,3,0,14
17,EP15_05,21,49,66,R14,others,casme,2,0,8
17,EP16_01f,8,29,71,4+7+L9,disgust,casme,0,12,0
17,EP18_07,36,69,103,4+7+9,disgust,casme,0,12,0
18,EP08_01,111,139,147,4,others,casme,2,7,0
18,EP18_01,66,91,126,4,others,casme,2,7,0
18,EP19_01,95,121,140,4,others,casme,2,7,0
19,EP01_01f,121,189,220,12,happiness,casme,1,0,3
19,EP01_02f,36,61,127,12,happiness,casme,1,0,3
19,EP02_01,91,119,151,L1+L2,surprise,casme,4,2,0
19,EP06_01f,146,174,201,L1+L2,surprise,casme,4,2,0
19,EP06_02f,211,264,291,6+12,others,casme,2,14,3
19,EP08_02,76,119,155,12,happiness,casme,1,0,3
19,EP11_01f,61,81,116,14,others,casme,2,0,8
19,EP11_04f,76,96,131,L2+14,surprise,casme,4,5,8
19,EP13_01,71,104,156,6,disgust,casme,0,14,0
19,EP15_03f,51,81,101,12,others,casme,2,0,3
19,EP16_01,86,109,136,9,disgust,casme,0,17,0
19,EP16_02,61,79,101,9,disgust,casme,0,17,0
19,EP19_01,66,86,101,4,others,casme,2,7,0
19,EP19_02,106,129,151,L1+L2,surprise,casme,4,2,0
19,EP19_03,61,91,116,L1+L2,surprise,casme,4,2,0
20,EP01_03,76,101,126,L4,disgust,casme,0,7,0
20,EP03_02,45,74,111,14,others,casme,2,0,8
20,EP06_03,31,49,61,4,disgust,casme,0,7,0
20,EP07_04,96,116,151,4,others,casme,2,7,0
20,EP10_02,131,166,216,12,others,casme,2,0,3
20,EP12_01,41,104,106,14,others,casme,2,0,8
20,EP13_02,71,109,121,4,others,casme,2,7,0
20,EP15_03f,86,129,181,4,others,casme,2,7,0
20,EP16_01,71,111,111,4,others,casme,2,7,0
20,EP16_04,81,106,121,14,others,casme,2,0,8
20,EP18_03,48,90,126,4,others,casme,2,7,0
21,EP01_07,6,21,36,4,others,casme,2,7,0
21,EP05_02,111,141,206,12+15+17,repression,casme,3,0,5
22,EP01_12,50,119,146,15+17,repression,casme,3,0,11
22,EP13_08,151,216,256,15+17,repression,casme,3,0,11
23,EP02_01,36,86,130,12+17,happiness,casme,1,0,7
23,EP03_14f,51,91,111,4+R10,disgust,casme,0,7,1
23,EP04_03f,16,91,115,12+15,repression,casme,3,0,4
23,EP05_24f,106,141,171,4+15+17,repression,casme,3,7,11
23,EP05_25f,51,86,131,4+10,disgust,casme,0,7,1
23,EP07_01,36,64,96,4,others,casme,2,7,0
23,EP12_02f,46,84,130,4+10,disgust,casme,0,7,1
23,EP12_03,86,129,161,4+10,disgust,casme,0,7,1
23,EP13_03,36,56,91,4,others,casme,2,7,0
23,EP13_04,21,41,86,17,repression,casme,3,0,14
23,EP13_07f,56,64,126,4,others,casme,2,7,0
23,EP17_01,81,114,146,4,others,casme,2,7,0
24,EP01_08,33,69,131,L7+L10,disgust,casme,0,16,1
24,EP02_02f,71,94,106,4+7,disgust,casme,0,11,0
24,EP07_01,24,41,66,1,surprise,casme,4,1,0
24,EP07_04f,4,24,41,1+2,surprise,casme,4,2,0
24,EP08_02,121,156,181,4,others,casme,2,7,0
24,EP10_01f,131,149,154,4,others,casme,2,7,0
24,EP10_02,101,121,136,4,others,casme,2,7,0
24,EP10_03,334,356,376,1+2,surprise,casme,4,2,0
24,EP12_01,81,99,121,L6,others,casme,2,14,0
24,EP18_03,53,76,88,L1+L2,surprise,casme,4,2,0
25,EP03_01,56,81,116,24,others,casme,2,0,16
25,EP03_02,51,101,134,24,others,casme,2,0,16
25,EP09_02,76,101,111,4+7,disgust,casme,0,11,0
25,EP10_01,101,129,176,4+7,disgust,casme,0,11,0
25,EP10_10,61,91,158,R1+R2,surprise,casme,4,2,0
25,EP12_01,131,151,186,R2,surprise,casme,4,5,0
25,EP18_04f,76,116,116,4+7,disgust,casme,0,11,0
26,EP03_10,116,149,201,R12,happiness,casme,1,0,3
26,EP07_28,31,51,71,14,others,casme,2,0,8
26,EP07_37,92,119,190,14+24,others,casme,2,0,9
26,EP08_04,31,79,89,4+7+12,others,casme,2,11,3
26,EP09_04,31,56,91,4+7,disgust,casme,0,11,0
26,EP09_09,46,76,101,4,disgust,casme,0,7,0
26,EP13_01,4,29,61,14+24,others,casme,2,0,9
26,EP13_02,32,54,116,R12,happiness,casme,1,0,3
26,EP13_11,20,59,101,4,disgust,casme,0,7,0
26,EP16_01,26,54,76,4,disgust,casme,0,7,0
26,EP18_44,11,36,71,4,disgust,casme,0,7,0
26,EP18_46,31,46,101,16,others,casme,2,0,12
26,EP18_47,6,49,86,4,disgust,casme,0,7,0
26,EP18_49,16,54,80,4,disgust,casme,0,7,0
26,EP18_50,78,99,161,4,disgust,casme,0,7,0
26,EP18_51,21,64,81,4+16,disgust,casme,0,7,12

